killed;19 usaf servicemen deployed as part of the operation were killed in thekhobar towers bombing;http://dbpedia.org/ontology/causalties
down;1rq-1 predatorunmanned aircraft shot down;http://dbpedia.org/ontology/causalties
damaged;4 light cruisers lightly damaged;http://dbpedia.org/ontology/causalties
down;1 torpedo bomber shot down;http://dbpedia.org/ontology/causalties
killed;104 killed;http://dbpedia.org/ontology/causalties
wounded;16 wounded;http://dbpedia.org/ontology/causalties
killed;205\u2013314 killed;http://dbpedia.org/ontology/causalties
destroyed;39 ships destroyed;http://dbpedia.org/ontology/causalties
missing;55 missing;http://dbpedia.org/ontology/causalties
killed;82 killed;http://dbpedia.org/ontology/causalties
wounded;164 wounded;http://dbpedia.org/ontology/causalties
killed;24 killed;http://dbpedia.org/ontology/causalties
killed;25 killed;http://dbpedia.org/ontology/causalties
wounded;39 wounded;http://dbpedia.org/ontology/causalties
dead;32 combat dead;http://dbpedia.org/ontology/causalties
wounded;47 wounded;http://dbpedia.org/ontology/causalties
dead;47 dead;http://dbpedia.org/ontology/causalties
wounded;382 wounded;http://dbpedia.org/ontology/causalties
south;south vietnam:;http://dbpedia.org/ontology/causalties
missing;926 missing;http://dbpedia.org/ontology/causalties
missing;604 missing;http://dbpedia.org/ontology/causalties
total;total casualties in phase 1:;http://dbpedia.org/ontology/causalties
destroyed;123 aircraft destroyed;http://dbpedia.org/ontology/causalties
unknown;total 3 phases: unknown;http://dbpedia.org/ontology/causalties
heavy;very heavy;http://dbpedia.org/ontology/causalties
wounded;~700 wounded;http://dbpedia.org/ontology/causalties
killed;25-44 killed;http://dbpedia.org/ontology/causalties
dead;1 dead;http://dbpedia.org/ontology/causalties
or;or;http://dbpedia.org/ontology/causalties
wounded;13 killed and 30+ wounded;http://dbpedia.org/ontology/causalties
damaged;1 protected cruiser damaged;http://dbpedia.org/ontology/causalties
killed;83 killed;http://dbpedia.org/ontology/causalties
wounded;131 wounded;http://dbpedia.org/ontology/causalties
missing;12 missing;http://dbpedia.org/ontology/causalties
killed;a few soldiers killed;http://dbpedia.org/ontology/causalties
french;french union:;http://dbpedia.org/ontology/causalties
state;state of vietnam;http://dbpedia.org/ontology/causalties
small;unknown.  estimate: small loss.;http://dbpedia.org/ontology/causalties
dead;4500 dead;http://dbpedia.org/ontology/causalties
wounded;57 wounded;http://dbpedia.org/ontology/causalties
killed;4 killed;http://dbpedia.org/ontology/causalties
wounded;48 wounded;http://dbpedia.org/ontology/causalties
missing;2 missing;http://dbpedia.org/ontology/causalties
lost;938 aircraft lost;http://dbpedia.org/ontology/causalties
dead;~1000 dead;http://dbpedia.org/ontology/causalties
likely;additional non-combat casualties likely;http://dbpedia.org/ontology/causalties
down;8 aircraft shot down;http://dbpedia.org/ontology/causalties
killed;53 aircrew killed;http://dbpedia.org/ontology/causalties
taken;3 aircrew taken prisoner.;http://dbpedia.org/ontology/causalties
killed;killed in action and wounded:;http://dbpedia.org/ontology/causalties
wounded;238 killed and wounded;http://dbpedia.org/ontology/causalties
filipino;filipino troops;http://dbpedia.org/ontology/causalties
killed;700 killed;http://dbpedia.org/ontology/causalties
american;american troops;http://dbpedia.org/ontology/causalties
wounded;over 400 killed or wounded;http://dbpedia.org/ontology/causalties
wounded;19 killed or wounded;http://dbpedia.org/ontology/causalties
unknown;exact figure unknown;http://dbpedia.org/ontology/causalties
sunk;24 merchant ships sunk;http://dbpedia.org/ontology/causalties
killed;153 merchant mariners killed;http://dbpedia.org/ontology/causalties
killed;68 killed;http://dbpedia.org/ontology/causalties
wounded;245 wounded;http://dbpedia.org/ontology/causalties
missing;11 missing;http://dbpedia.org/ontology/causalties
killed;362\u2013500 killed;http://dbpedia.org/ontology/causalties
killed;1 iranian civilian killed;http://dbpedia.org/ontology/causalties
trillion;almost 365 trillion beings;http://dbpedia.org/ontology/causalties
devastated;at least 20 devastated worlds;http://dbpedia.org/ontology/causalties
killed;452 killed;http://dbpedia.org/ontology/causalties
british;british;http://dbpedia.org/ontology/causalties
killed;12-18 killed;http://dbpedia.org/ontology/causalties
wounded;22-35 wounded prisoners;http://dbpedia.org/ontology/causalties
indian;indian;http://dbpedia.org/ontology/causalties
killed;16-33 killed;http://dbpedia.org/ontology/causalties
wounded;170 wounded;http://dbpedia.org/ontology/causalties
wounded;12 wounded;http://dbpedia.org/ontology/causalties
wounded;43 wounded;http://dbpedia.org/ontology/causalties
wounded;69 wounded prisoners;http://dbpedia.org/ontology/causalties
missing;7 missing;http://dbpedia.org/ontology/causalties
dead;~700 dead;http://dbpedia.org/ontology/causalties
dead;84 dead;http://dbpedia.org/ontology/causalties
wounded;559 wounded;http://dbpedia.org/ontology/causalties
dead;796 dead;http://dbpedia.org/ontology/causalties
wounded;150 wounded;http://dbpedia.org/ontology/causalties
missing;51 missing;http://dbpedia.org/ontology/causalties
sunk;9 ships sunk;http://dbpedia.org/ontology/causalties
damaged;10+ ships damaged;http://dbpedia.org/ontology/causalties
killed;850 killed;http://dbpedia.org/ontology/causalties
sunk;5 ships sunk;http://dbpedia.org/ontology/causalties
damaged;3 ships damaged;http://dbpedia.org/ontology/causalties
killed;33 killed;http://dbpedia.org/ontology/causalties
wounded;89 wounded;http://dbpedia.org/ontology/causalties
wounded;488 killed and wounded;http://dbpedia.org/ontology/causalties
missing;43 missing;http://dbpedia.org/ontology/causalties
killed;31 killed;http://dbpedia.org/ontology/causalties
wounded;148 wounded;http://dbpedia.org/ontology/causalties
missing;13 missing;http://dbpedia.org/ontology/causalties
killed;261 killed;http://dbpedia.org/ontology/causalties
wounded;108 wounded;http://dbpedia.org/ontology/causalties
sunk;1 frigate sunk;http://dbpedia.org/ontology/causalties
sunk;1 sloop-of-war sunk;http://dbpedia.org/ontology/causalties
damaged;1 frigate damaged;http://dbpedia.org/ontology/causalties
wounded;44 killed and 119 wounded;http://dbpedia.org/ontology/causalties
